generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766003433-SJrENeKFlKBsdYk8aHrb,2025-12-17 20:30:33.614,0,,,0,0,303,106,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1185,357,,lois
gen-1766003432-JLiuUpfA3NxC5JGA5lT0,2025-12-17 20:30:32.605,0,,,0,0,534,3,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,146,559,,lois
gen-1766003430-LwrBUicReeVLZNKS4cE7,2025-12-17 20:30:30.758,0,,,0,0,278,73,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1034,441,,lois
gen-1766003194-fCJWUpDgfeaInqTU7r7u,2025-12-17 20:26:34.009,0,,,0,0,339,81,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1690,414,,lois
gen-1766003192-kIX1hjVS26ofNDszMQI3,2025-12-17 20:26:32.572,0,,,0,0,510,27,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,720,385,,lois
gen-1766003190-ngPflPxRjVJEp04es5g4,2025-12-17 20:26:30.571,0,,,0,0,388,45,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1307,339,,lois
gen-1765998140-cYOXuwvg9ynj25M67ubA,2025-12-17 19:02:20.389,0,,,0,0,330,79,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1629,501,,lois
gen-1765998138-3GIwiW9DEblGE4woR3tD,2025-12-17 19:02:18.642,0,,,0,0,563,32,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,695,262,,lois
gen-1765998137-ZUSeXWELSR6dzEvI70zJ,2025-12-17 19:02:17.646,0,,,0,0,513,3,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,180,361,,lois
gen-1765998135-vD1owcl82tzE7q326O7X,2025-12-17 19:02:15.475,0,,,0,0,545,78,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1763,194,,lois
gen-1765998133-fWwJ6KgwAFiW1WaiGgsC,2025-12-17 19:02:13.634,0,,,0,0,492,27,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,717,417,,lois
gen-1765998131-wOegB7W66EwhPb5LbCnH,2025-12-17 19:02:11.589,0,,,0,0,491,55,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1266,468,,lois
gen-1765998098-Goyinw8wGsf0nj5vTTbe,2025-12-17 19:01:38.702,0,,,0,0,313,46,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,874,625,,lois
gen-1765998097-Hamy9CnmrCaSrMijyBL3,2025-12-17 19:01:37.097,0,,,0,0,544,32,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,731,396,,lois
gen-1765998095-BoM9PyyiUGeFS640lSwj,2025-12-17 19:01:35.672,0,,,0,0,498,27,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,709,222,,lois
gen-1765998093-HToqD2CVzuBYcT7cs9Zi,2025-12-17 19:01:33.453,0,,,0,0,490,61,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1443,381,,lois
gen-1765997919-CZw2zXLecfBBp3gpucYa,2025-12-17 18:58:39.233,0,,,0,0,331,65,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1321,262,,lois
gen-1765997917-cEmMVroXARVGfEjOrkvk,2025-12-17 18:58:37.150,0,,,0,0,563,41,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,865,964,,lois
gen-1765997916-CgAESIIlnD3WMizVyiYD,2025-12-17 18:58:36.049,0,,,0,0,514,3,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,139,554,,lois
gen-1765997913-J5R24pKXj4epyRb1lh5d,2025-12-17 18:58:33.850,0,,,0,0,545,80,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1652,215,,lois
